date,y5y
2009-10-01,2.8874
2009-10-02,2.8531
2009-10-05,2.9232
2009-10-06,2.927
2009-10-07,2.8942
2009-10-08,2.9815
2009-10-09,2.9572
2009-10-13,3.0186
2009-10-14,3.0724
2009-10-15,3.1041
2009-10-16,3.0802
2009-10-19,3.1368
2009-10-20,3.0954
2009-10-21,3.1539
2009-10-22,3.088
2009-10-23,3.1028
2009-10-26,3.0161
2009-10-27,3.0182
2009-10-28,2.9952
2009-10-29,3.0986
2009-10-30,3.0102
2009-11-02,3.0368
2009-11-03,3.0634
2009-11-04,3.1306
2009-11-05,3.1328
2009-11-06,3.1546
2009-11-09,3.19
2009-11-10,3.1216
2009-11-12,3.0992
2009-11-13,3.1414
2009-11-16,3.1326
2009-11-17,3.1276
2009-11-18,3.1712
2009-11-19,3.1682
2009-11-20,3.2026
2009-11-23,3.2062
2009-11-24,3.0911
2009-11-25,3.0852
2009-11-27,3.0548
2009-11-30,3.0756
2009-12-01,3.1374
2009-12-02,3.1328
2009-12-03,3.1546
2009-12-04,3.157
2009-12-07,3.134
2009-12-08,3.1718
2009-12-09,3.179
2009-12-10,3.195
2009-12-11,3.253
2009-12-14,3.2952
2009-12-15,3.3104
2009-12-16,3.3124
2009-12-17,3.262
2009-12-18,3.3184
2009-12-21,3.3779
2009-12-22,3.3783
2009-12-23,3.3499
2009-12-24,3.3568
2009-12-28,3.3358
2009-12-29,3.3285
2009-12-30,3.3236
2009-12-31,3.3398
2010-01-04,3.2978
2010-01-05,3.2161
2010-01-06,3.2374
2010-01-07,3.284
2010-01-08,3.3557
2010-01-11,3.306
2010-01-12,3.2562
2010-01-13,3.2286
2010-01-14,3.2274
2010-01-15,3.1742
2010-01-19,3.1398
2010-01-20,3.1114
2010-01-21,3.1298
2010-01-22,3.1193
2010-01-25,3.1322
2010-01-26,3.1736
2010-01-27,3.1602
2010-01-28,3.1648
2010-01-29,3.245
2010-02-01,3.2742
2010-02-02,3.2576
2010-02-03,3.2172
2010-02-04,3.1693
2010-02-05,3.1174
2010-02-08,3.1101
2010-02-09,3.127
2010-02-10,3.1385
2010-02-11,3.0682
2010-02-12,3.0756
2010-02-16,3.077
2010-02-17,3.0844
2010-02-18,3.1316
2010-02-19,3.1495
2010-02-22,3.0986
2010-02-23,3.0162
2010-02-24,3.018
2010-02-25,3.005
2010-02-26,3.032
2010-03-01,2.9896
