类别：所有类别

月份,flight: (美国),restaurant: (美国),weather: (美国),car: (美国),travel: (美国)
2009-01,5,11,36,21,7
2009-02,5,12,31,22,7
2009-03,5,11,32,23,8
2009-04,4,10,32,22,7
2009-05,4,11,31,23,7
2009-06,6,12,32,24,7
2009-07,5,12,28,25,7
2009-08,5,12,28,24,7
2009-09,4,11,25,21,6
2009-10,4,11,31,20,6
2009-11,4,11,22,20,6
2009-12,5,11,39,21,6
2010-01,5,12,36,20,7
2010-02,5,12,44,21,6
2010-03,4,11,29,22,7
2010-04,5,10,31,20,6
2010-05,5,11,33,22,7
2010-06,5,11,35,22,7
2010-07,4,12,32,22,6
2010-08,5,11,28,22,6
2010-09,4,10,33,20,5
2010-10,4,10,31,19,5
2010-11,4,10,31,19,5
2010-12,5,11,44,20,5
2011-01,5,12,53,22,6
2011-02,5,13,52,23,6
2011-03,5,12,41,22,6
2011-04,5,12,49,23,6
2011-05,5,12,47,23,6
2011-06,5,12,42,25,6
2011-07,5,13,39,25,6
2011-08,5,12,43,24,6
2011-09,5,12,40,23,5
2011-10,4,11,37,22,5
2011-11,4,11,35,21,5
2011-12,4,12,31,21,5
2012-01,5,12,39,22,6
2012-02,4,12,37,23,6
2012-03,5,11,43,24,5
2012-04,4,11,42,23,5
2012-05,4,11,39,25,6
2012-06,5,12,39,26,6
2012-07,5,12,40,26,5
2012-08,4,12,37,24,5
2012-09,4,11,33,23,5
2012-10,4,10,44,21,4
2012-11,5,10,29,21,4
2012-12,5,11,42,21,4
2013-01,5,11,41,22,5
2013-02,5,11,44,22,5
2013-03,5,11,43,23,5
2013-04,5,11,44,23,5
2013-05,5,11,47,24,5
2013-06,5,11,50,26,6
2013-07,6,12,42,25,5
2013-08,5,12,34,24,5
2013-09,4,10,36,23,5
2013-10,4,10,37,23,4
2013-11,5,11,40,22,5
2013-12,5,11,51,24,5
2014-01,6,11,64,23,6
2014-02,6,11,67,24,5
2014-03,9,11,54,25,5
2014-04,6,11,51,24,5
2014-05,5,12,49,26,5
2014-06,5,11,43,26,6
2014-07,7,12,44,27,6
2014-08,6,12,39,26,5
2014-09,5,10,41,23,5
2014-10,5,10,40,23,5
2014-11,5,11,49,22,4
2014-12,6,11,43,23,5
2015-01,6,11,55,24,6
2015-02,6,12,67,24,5
2015-03,6,12,52,25,5
2015-04,5,11,51,25,5
2015-05,5,11,54,26,5
2015-06,6,12,55,28,6
2015-07,6,13,46,29,6
2015-08,6,13,43,28,5
2015-09,5,11,44,26,5
2015-10,5,11,48,24,5
2015-11,5,10,45,23,5
2015-12,6,11,47,24,5
2016-01,6,13,63,26,6
2016-02,6,13,56,27,5
2016-03,6,13,56,28,5
2016-04,6,13,58,28,5
2016-05,7,14,59,29,5
2016-06,7,14,55,29,6
2016-07,7,15,54,30,6
2016-08,7,13,47,28,5
2016-09,6,13,48,27,5
2016-10,6,13,51,26,5
2016-11,6,12,42,25,5
2016-12,7,13,61,27,5
2017-01,7,13,68,27,6
2017-02,6,13,60,28,6
2017-03,7,14,66,29,6
2017-04,7,14,63,29,6
2017-05,7,14,63,30,6
2017-06,7,15,68,32,6
2017-07,7,16,62,33,6
2017-08,7,15,62,31,6
2017-09,6,13,63,28,5
2017-10,6,13,63,28,5
2017-11,6,13,63,27,5
2017-12,7,14,76,26,5
2018-01,7,13,91,28,6
2018-02,7,14,84,29,6
2018-03,8,14,89,30,6
2018-04,7,14,85,29,6
2018-05,7,14,84,30,6
2018-06,8,16,77,31,6
2018-07,8,16,77,33,6
2018-08,8,15,69,31,6
2018-09,7,14,78,28,5
2018-10,7,13,73,28,5
2018-11,7,13,71,27,5
2018-12,7,15,70,27,5
2019-01,8,14,95,28,6
2019-02,7,14,100,29,6
2019-03,8,15,75,32,6
2019-04,7,14,74,30,6
2019-05,7,15,80,30,6
2019-06,8,15,72,33,6
2019-07,8,16,64,33,6
2019-08,7,15,56,32,5
2019-09,7,14,54,30,5
2019-10,6,11,58,29,5
