类别：所有类别

月份,debt: (美国),interest: (美国),stock: (美国),salary: (美国),credit: (美国)
2009-01,6,9,28,13,74
2009-02,7,9,29,13,78
2009-03,6,9,34,12,75
2009-04,6,9,30,12,71
2009-05,5,7,26,13,70
2009-06,6,8,23,13,73
2009-07,6,7,22,13,74
2009-08,6,7,23,14,74
2009-09,6,7,23,15,68
2009-10,6,7,24,15,70
2009-11,6,7,23,14,69
2009-12,5,6,22,13,68
2010-01,6,7,23,16,73
2010-02,6,8,23,15,73
2010-03,6,8,24,15,72
2010-04,6,8,25,16,72
2010-05,5,6,24,16,65
2010-06,5,6,22,15,72
2010-07,5,6,19,14,68
2010-08,4,6,18,14,67
2010-09,5,6,19,15,64
2010-10,5,6,20,14,63
2010-11,5,6,21,14,62
2010-12,4,6,20,13,63
2011-01,5,7,26,17,77
2011-02,5,7,26,16,77
2011-03,5,7,25,16,71
2011-04,6,7,24,17,74
2011-05,5,6,21,17,70
2011-06,5,6,20,17,77
2011-07,12,6,21,17,78
2011-08,9,6,30,18,79
2011-09,7,7,22,18,76
2011-10,6,8,24,18,76
2011-11,6,7,22,17,77
2011-12,5,7,22,16,76
2012-01,6,8,23,20,79
2012-02,5,9,25,18,78
2012-03,5,8,24,18,77
2012-04,5,8,23,20,77
2012-05,5,7,28,19,78
2012-06,4,6,22,19,80
2012-07,4,6,20,19,78
2012-08,4,6,21,19,77
2012-09,6,7,22,20,72
2012-10,6,7,22,18,74
2012-11,6,7,23,17,74
2012-12,4,6,22,16,73
2013-01,5,7,26,19,77
2013-02,5,8,26,18,78
2013-03,4,8,26,19,76
2013-04,4,8,25,19,76
2013-05,4,7,26,19,76
2013-06,3,7,23,19,79
2013-07,4,7,24,19,81
2013-08,4,6,24,19,80
2013-09,4,7,26,19,74
2013-10,8,8,30,20,75
2013-11,4,8,30,19,75
2013-12,4,6,28,17,80
2014-01,4,7,32,20,82
2014-02,5,8,33,19,81
2014-03,4,8,30,19,80
2014-04,4,8,30,20,80
2014-05,4,7,28,21,82
2014-06,4,6,27,20,82
2014-07,4,6,27,21,86
2014-08,4,6,25,20,86
2014-09,4,7,28,20,82
2014-10,4,8,31,20,82
2014-11,4,7,28,19,82
2014-12,4,7,30,19,85
2015-01,4,8,30,22,89
2015-02,4,9,32,21,88
2015-03,4,9,31,22,85
2015-04,4,9,31,23,88
2015-05,4,8,28,22,88
2015-06,4,7,29,23,92
2015-07,5,7,34,24,95
2015-08,4,7,40,25,93
2015-09,4,9,34,25,83
2015-10,5,9,34,24,84
2015-11,4,8,31,22,83
2015-12,4,8,31,22,86
2016-01,5,8,42,26,86
2016-02,7,10,40,25,86
2016-03,5,9,39,25,85
2016-04,5,9,39,26,87
2016-05,5,8,36,26,84
2016-06,4,8,39,26,87
2016-07,4,6,38,25,89
2016-08,4,6,36,25,88
2016-09,5,7,34,26,83
2016-10,5,8,34,26,81
2016-11,5,8,44,27,79
2016-12,4,8,40,25,86
2017-01,5,8,42,29,88
2017-02,5,9,46,28,90
2017-03,5,9,48,28,89
2017-04,5,9,46,27,86
2017-05,4,8,45,27,87
2017-06,4,7,46,27,93
2017-07,4,7,44,27,94
2017-08,4,6,46,27,92
2017-09,5,7,41,26,92
2017-10,5,8,50,27,88
2017-11,5,8,50,26,89
2017-12,4,8,51,25,91
2018-01,5,8,60,29,93
2018-02,5,9,65,27,95
2018-03,5,9,58,27,94
2018-04,5,9,54,28,92
2018-05,4,8,51,28,90
2018-06,4,7,51,27,94
2018-07,4,7,53,28,94
2018-08,4,7,59,30,93
2018-09,5,8,62,28,85
2018-10,5,9,65,28,86
2018-11,5,8,57,26,86
2018-12,4,8,59,25,87
2019-01,5,8,60,30,90
2019-02,5,9,57,28,93
2019-03,5,9,59,28,92
2019-04,5,9,60,28,93
2019-05,5,8,60,28,92
2019-06,5,8,55,27,96
2019-07,5,8,56,27,100
2019-08,5,8,61,27,95
2019-09,5,9,51,27,89
2019-10,6,10,63,29,99
