类别：所有类别

月份,happy: (美国),love: (美国),fear: (美国),angry: (美国),sad: (美国)
2009-01,14,82,5,2,3
2009-02,13,85,7,2,3
2009-03,13,85,5,2,3
2009-04,13,83,5,2,3
2009-05,13,79,5,2,3
2009-06,12,77,4,2,2
2009-07,13,80,4,2,2
2009-08,12,78,4,2,2
2009-09,13,77,5,2,3
2009-10,14,77,6,2,3
2009-11,15,79,5,2,3
2009-12,19,79,4,2,3
2010-01,15,84,4,2,3
2010-02,15,90,5,2,3
2010-03,14,77,5,2,3
2010-04,15,79,5,2,3
2010-05,16,86,5,3,3
2010-06,15,86,4,3,3
2010-07,15,95,4,4,3
2010-08,14,95,4,4,3
2010-09,15,88,5,5,3
2010-10,16,85,6,6,3
2010-11,17,90,5,8,3
2010-12,23,88,4,10,3
2011-01,18,92,5,13,3
2011-02,19,97,5,14,3
2011-03,18,87,5,14,3
2011-04,21,87,5,14,3
2011-05,21,92,5,16,3
2011-06,19,91,6,20,3
2011-07,19,94,5,18,3
2011-08,18,94,5,16,3
2011-09,20,92,5,16,3
2011-10,23,94,7,17,3
2011-11,25,98,5,17,3
2011-12,30,93,6,20,3
2012-01,24,95,6,16,3
2012-02,25,100,5,13,3
2012-03,24,86,5,14,3
2012-04,26,87,5,12,3
2012-05,28,83,5,10,3
2012-06,26,86,4,9,3
2012-07,26,88,4,8,3
2012-08,24,85,4,8,3
2012-09,25,83,5,8,3
2012-10,26,80,6,8,3
2012-11,28,82,5,10,3
2012-12,31,85,5,11,4
2013-01,27,86,5,9,3
2013-02,28,92,5,7,3
2013-03,28,84,5,7,3
2013-04,26,87,6,7,3
2013-05,30,87,5,6,4
2013-06,27,87,4,6,4
2013-07,25,85,4,6,3
2013-08,24,81,5,5,3
2013-09,25,78,5,5,3
2013-10,26,77,6,6,4
2013-11,32,79,5,5,4
2013-12,33,83,5,6,4
2014-01,30,86,5,5,4
2014-02,33,93,5,5,4
2014-03,35,80,5,5,4
2014-04,36,81,5,5,4
2014-05,39,86,5,5,4
2014-06,32,81,4,5,4
2014-07,30,86,4,5,4
2014-08,29,80,4,5,4
2014-09,30,77,5,5,4
2014-10,35,77,6,5,5
2014-11,37,79,5,5,5
2014-12,38,83,5,5,5
2015-01,34,83,5,4,5
2015-02,34,89,5,4,5
2015-03,32,79,5,4,5
2015-04,35,80,5,4,5
2015-05,39,80,5,4,5
2015-06,35,79,5,4,5
2015-07,33,75,5,4,4
2015-08,31,74,10,4,4
2015-09,35,72,10,4,4
2015-10,36,75,9,4,5
2015-11,40,80,6,4,6
2015-12,42,82,5,7,6
2016-01,37,82,5,5,5
2016-02,37,86,6,4,5
2016-03,37,74,6,4,5
2016-04,34,76,7,5,5
2016-05,42,76,7,8,5
2016-06,38,77,5,6,4
2016-07,34,74,5,4,4
2016-08,32,71,5,5,4
2016-09,33,71,6,4,4
2016-10,33,71,7,4,4
2016-11,36,72,5,4,5
2016-12,38,76,5,5,5
2017-01,36,75,5,4,5
2017-02,35,79,5,4,5
2017-03,32,72,5,4,5
2017-04,35,69,5,4,4
2017-05,39,69,5,4,4
2017-06,35,70,6,3,4
2017-07,32,69,6,3,4
2017-08,30,67,5,3,4
2017-09,30,65,6,3,4
2017-10,36,64,7,3,4
2017-11,36,66,5,3,5
2017-12,36,69,5,4,4
2018-01,33,69,5,3,4
2018-02,33,73,5,3,4
2018-03,30,72,5,3,5
2018-04,31,68,7,3,5
2018-05,36,68,6,3,5
2018-06,32,68,5,3,6
2018-07,30,72,5,3,5
2018-08,30,67,5,3,5
2018-09,29,65,7,3,5
2018-10,30,63,6,3,5
2018-11,33,65,5,3,5
2018-12,34,66,5,3,5
2019-01,31,65,5,3,5
2019-02,34,68,5,3,5
2019-03,29,62,5,3,5
2019-04,30,61,5,3,5
2019-05,35,63,5,3,5
2019-06,31,63,5,3,4
2019-07,27,65,5,3,4
2019-08,26,61,6,5,4
2019-09,25,60,6,4,4
2019-10,27,57,6,4,5
