类别：所有类别

月份,trump: (美国),war: (美国),police: (美国),euro: (美国),federal: (美国)
2009-01,1,17,11,2,19
2009-02,1,19,11,2,20
2009-03,1,19,12,3,19
2009-04,1,18,11,2,19
2009-05,1,20,11,2,17
2009-06,1,14,11,2,18
2009-07,1,12,12,2,18
2009-08,1,12,11,2,17
2009-09,1,14,11,2,17
2009-10,1,15,11,2,17
2009-11,1,17,10,2,16
2009-12,1,16,10,2,17
2010-01,1,15,10,2,18
2010-02,1,16,10,3,19
2010-03,1,19,11,3,19
2010-04,1,19,11,3,19
2010-05,1,19,11,4,16
2010-06,1,14,11,3,17
2010-07,1,11,11,3,16
2010-08,1,11,11,2,16
2010-09,1,12,10,2,16
2010-10,1,13,10,2,16
2010-11,1,14,10,2,16
2010-12,1,13,9,2,15
2011-01,1,14,12,2,17
2011-02,1,15,11,2,18
2011-03,2,16,11,2,16
2011-04,4,18,11,2,18
2011-05,3,18,11,2,14
2011-06,1,13,12,2,15
2011-07,1,11,12,2,15
2011-08,1,11,12,2,15
2011-09,1,16,12,2,15
2011-10,1,15,12,2,15
2011-11,1,15,11,2,15
2011-12,1,15,11,2,15
2012-01,1,14,11,2,16
2012-02,1,15,11,2,17
2012-03,1,15,11,2,15
2012-04,1,15,12,2,16
2012-05,1,16,12,3,14
2012-06,1,12,12,15,15
2012-07,1,10,12,4,14
2012-08,1,10,12,2,14
2012-09,1,12,11,2,14
2012-10,3,12,12,2,14
2012-11,1,14,10,2,14
2012-12,1,13,11,2,14
2013-01,1,13,11,2,16
2013-02,1,14,12,2,16
2013-03,1,17,11,2,15
2013-04,1,17,12,2,15
2013-05,1,16,12,2,13
2013-06,1,15,12,2,13
2013-07,1,11,12,2,14
2013-08,1,11,12,2,13
2013-09,1,15,11,2,13
2013-10,1,12,12,2,15
2013-11,1,13,11,2,13
2013-12,1,12,10,2,13
2014-01,1,12,12,2,14
2014-02,1,13,11,2,15
2014-03,1,14,11,2,14
2014-04,1,14,11,2,15
2014-05,1,16,12,2,13
2014-06,1,11,12,2,13
2014-07,1,10,12,2,13
2014-08,1,11,14,2,12
2014-09,1,12,12,2,12
2014-10,1,13,12,2,13
2014-11,1,13,12,2,12
2014-12,1,14,14,2,13
2015-01,1,14,12,3,13
2015-02,1,15,11,2,14
2015-03,1,15,12,3,14
2015-04,1,17,14,3,14
2015-05,1,17,13,3,12
2015-06,5,13,13,3,13
2015-07,10,11,13,3,13
2015-08,14,13,13,2,13
2015-09,11,16,13,2,12
2015-10,8,14,12,2,13
2015-11,8,17,12,2,12
2015-12,13,15,12,2,13
2016-01,14,14,11,2,13
2016-02,24,16,12,2,14
2016-03,41,17,12,2,12
2016-04,20,20,12,2,13
2016-05,23,26,12,2,11
2016-06,22,13,12,17,11
2016-07,40,11,21,9,11
2016-08,32,12,12,2,11
2016-09,30,14,14,2,11
2016-10,63,15,12,2,11
2016-11,100,14,12,2,11
2016-12,29,14,11,2,11
2017-01,76,14,11,2,13
2017-02,55,15,12,2,14
2017-03,35,15,12,2,12
2017-04,26,19,12,2,13
2017-05,33,17,12,2,11
2017-06,29,12,12,2,11
2017-07,27,13,13,2,11
2017-08,31,12,12,2,11
2017-09,23,13,12,2,11
2017-10,26,15,12,2,11
2017-11,22,16,11,2,11
2017-12,23,14,11,2,11
2018-01,27,13,11,2,13
2018-02,22,14,12,2,14
2018-03,23,17,12,2,13
2018-04,23,33,12,2,12
2018-05,19,30,12,2,11
2018-06,25,14,12,2,11
2018-07,26,12,13,2,11
2018-08,25,13,12,2,12
2018-09,22,12,12,2,11
2018-10,22,12,11,2,12
2018-11,22,13,11,2,11
2018-12,24,14,11,2,13
2019-01,29,13,12,2,14
2019-02,22,14,11,2,15
2019-03,18,14,11,2,13
2019-04,16,17,11,2,13
2019-05,16,17,12,2,11
2019-06,18,11,12,2,11
2019-07,21,9,12,2,12
2019-08,20,9,12,2,12
2019-09,21,11,11,2,11
2019-10,31,13,14,2,13
